product_category,total_orders,detractors,pct_detractors,avg_year
"['AUS Furniture - Outdoor - Tables,AUS Home Décor - Vases,AUS Home Décor - Vases']",1,1,100.0,2020.0
"['AUS Rugs - Rugs,AUS S&O - Bookcases & Shelving Units']",17,2,11.76,2019.0
['AUS Dinnerware - Serving Pieces'],166,14,8.43,2019.0
['AUS Home Décor - Wall Shelving'],116,17,14.66,2019.0
"['AUS Furniture - Drinks Trolleys & Serving Carts,AUS S&O - Bookcases & Shelving Units']",1,0,0.0,2019.0
"['AUS Bathroomware - Bathroom Accessories,AUS Bathroomware - Bathroom Accessories']",33,4,12.12,2019.0
"['AUS Pet - [Dog & Cat] Pet Beds & Blankets,AUS Pet - [Cat] Cat Trees & Scratching Posts']",1,0,0.0,2019.0
"['AUS Furniture - Kitchen - Kitchen Islands & Chopping Blocks,AUS Furniture - Bar Stools']",1,0,0.0,2018.0
"['AUS Furniture - Occasional - Console Tables,AUS Furniture - Occasional - Side/End Tables']",11,0,0.0,2019.0
"['AUS Rugs - Rugs,AUS Rugs - Rugs,AUS Dinnerware - Serving Pieces,AUS Lighting - Party Lights']",1,0,0.0,2018.0
"['AUS Outdoor - All Planters,AUS Outdoor - Garden - Statues']",3,0,0.0,2019.0
"['AUS Furniture - Dining - Dining Tables,AUS Furniture - Dining - Dining Chairs,AUS Furniture - Dining Benches']",1,0,0.0,2018.0
"['AUS Furniture - Coat Racks'
 'Hall Trees & Umbrella Stands,AUS Furniture - Coat Racks'
 'Hall Trees & Umbrella Stands']",10,2,20.0,2019.0
"['AUS Dinnerware - Plates & Bowls,AUS Dinnerware - Plates & Bowls']",47,1,2.13,2020.0
"['AUS Furniture - Bar Stools,AUS Lighting - Indoor - Lamps,AUS Furniture - Occasional - Side/End Tables,AUS Lighting - Indoor - Lamps']",1,0,0.0,2018.0
"['AUS Home Décor - Wall Art,AUS Furniture - Bedroom - Bedside Tables']",8,0,0.0,2019.0
"['AUS Furniture - Dining - Dining Chairs,AUS Furniture - Dining - Dining Chairs']",97,18,18.56,2019.0
"['AUS Kitchenware - Kitchen & Butler Trays,AUS Furniture - Bar Stools']",1,0,0.0,2018.0
"['AUS Bathroomware - Towel Rails & Racks,AUS Manchester - Pillows,AUS Furniture - Bedroom - Bed Mattresses']",1,1,100.0,2018.0
"['AUS Furniture - Armchairs,AUS Furniture - Furniture Covers,AUS Rugs - Rugs,AUS Furniture - Furniture Covers']",1,0,0.0,2019.0
"['AUS Kids - Outdoor Play,AUS Kids - Outdoor Play,AUS Kids - Outdoor Play']",10,3,30.0,2019.0
"['AUS Manchester - Mattress Protectors & Accessories,AUS Furniture - Bedroom - Bed Mattresses,AUS Furniture - Bedroom - Bunk Beds']",1,0,0.0,2019.0
"['AUS Furniture - Bar Stools,AUS Furniture - Occasional - Coffee Tables']",12,4,33.33,2019.0
"['AUS Kitchenware - Cutting Boards,AUS Furniture - Entertainment - TV Units']",1,0,0.0,2019.0
"['AUS Furniture - Occasional - Side/End Tables,AUS Furniture - Occasional - Coffee Tables']",56,11,19.64,2019.0
"['AUS Furniture - Occasional - Side/End Tables,AUS Furniture - Bedroom - Bedside Tables']",10,2,20.0,2019.0
"['AUS Furniture - Bar Stools,AUS Furniture - Entertainment - TV Units']",6,2,33.33,2019.0
"['AUS Furniture - Bedroom - Beds,AUS Manchester - Pillowcases,AUS Manchester - Quilt Covers']",1,0,0.0,2019.0
"['AUS Lighting - Light Bulbs,AUS Furniture - Bedroom - Wardrobes,AUS Lighting - Indoor - Lamps']",1,0,0.0,2019.0
"['AUS S&O - Kitchen - Food Storage and Organisation,AUS S&O - Kitchen - Food Storage and Organisation,AUS S&O - Kitchen - Food Storage and Organisation,AUS Furniture - Occasional - Coffee Tables']",1,0,0.0,2019.0
"['AUS Gifting - Skin & Body Care,AUS Gifting - Skin & Body Care,AUS Rugs - Rugs']",1,0,0.0,2019.0
"['AUS Furniture - Wine Racks & Cabinets,AUS Rugs - Rugs']",1,0,0.0,2019.0
"['AUS Office - Filing Cabinets,AUS Office - Desk Hutches & Extensions,AUS Office - Desks']",1,0,0.0,2020.0
"['AUS Furniture - Dining - Dining Chairs,AUS Manchester - Home - Curtains,AUS Furniture - Dining - Dining Tables']",1,0,0.0,2020.0
"['AUS Office - Office Chairs,AUS Home Décor - Mirrors,AUS S&O - Shoe Racks & Cabinets']",1,0,0.0,2020.0
"['AUS Manchester - Pillowcases,AUS Manchester - Bed Sheets']",25,1,4.0,2020.0
"['AUS Furniture - Dining - Buffets & Sideboards,AUS S&O - Sheds & Outdoor Storage']",1,0,0.0,2020.0
['AUS Pet - [Dog & Cat] Bowls & Feeders'],18,2,11.11,2019.0
"['AUS Home Décor - Vases,AUS Home Décor - Statues & Ornaments,AUS Rugs - Rugs,AUS Home Décor - Vases']",1,0,0.0,2020.0
"['AUS Kids - Toys,AUS Kids - S&O - Toy Boxes & Kids Storage Units']",1,0,0.0,2020.0
"['AUS Furniture - Kitchen - Kitchen Islands & Chopping Blocks,AUS Office - Desks,AUS Furniture - Bedroom - Bedside Tables']",1,0,0.0,2020.0
"['AUS Dinnerware - Teacups & Mugs,AUS Dinnerware - Teacups & Mugs,AUS Dinnerware - Teacups & Mugs,AUS Dinnerware - Teacups & Mugs,AUS Dinnerware - Teacups & Mugs,AUS Dinnerware - Teacups & Mugs']",7,0,0.0,2020.0
"['AUS Home Décor - Wall Art,AUS Manchester - Bed Sheets']",3,0,0.0,2020.0
"['AUS Furniture - Bedroom - Bedside Tables,AUS Lighting - Indoor - Lamps']",23,5,21.74,2019.0
"['AUS Home Décor - Decorative Bowls,AUS Manchester - Blankets & Throws,AUS Home Décor - Statues & Ornaments']",1,0,0.0,2020.0
"['AUS Rec Room - Puzzles & Board Games,AUS Kids - Toys,AUS Rec Room - Puzzles & Board Games']",1,0,0.0,2020.0
"['AUS Furniture - Occasional - Ottomans & Stools,AUS Furniture - Occasional - Coffee Tables,AUS Furniture - Occasional - Side/End Tables']",1,0,0.0,2020.0
"['AUS Furniture - Bedroom - Bed Mattresses,AUS Manchester - Mattress Protectors & Accessories,AUS Dinnerware - Cutlery Sets,AUS Rugs - Doormats']",1,0,0.0,2020.0
"['AUS Rugs - Rugs,AUS Furniture - Dining - Dining Sets']",6,2,33.33,2019.0
"['AUS Furniture - Dining - Dining Chairs,AUS S&O - Cupboards,AUS Furniture - Dining - Dining Tables']",1,1,100.0,2018.0
"['AUS Furniture - Bedroom - Bedheads,AUS Furniture - Bedroom - Bedheads']",49,15,30.61,2019.0
"['AUS Lighting - Indoor - Lamps,AUS Lighting - Indoor - Lamps,AUS Kitchenware - [Cooking] Sauce & Saute Pans']",1,0,0.0,2020.0
"['AUS Kids - S&O - Toy Boxes & Kids Storage Units,AUS Office - Office Chairs']",1,0,0.0,2019.0
"['AUS Furniture - Occasional - Console Tables,AUS Home Décor - Jewellery Boxes']",1,0,0.0,2018.0
"['AUS Furniture - Occasional - Ottomans & Stools,AUS Furniture - Bar Stools']",3,0,0.0,2020.0
"['AUS Manchester - Quilt Covers,AUS Home Décor - Clocks']",5,1,20.0,2019.0
"['AUS Lighting - Lamp Shades,AUS Furniture - Bedroom - Chest of Drawers']",1,1,100.0,2019.0
"['AUS Office - Desks,AUS Office - Filing Cabinets']",5,1,20.0,2019.0
"['AUS S&O - Laundry Baskets & Organisation,AUS S&O - Cupboards,AUS S&O - Cupboards']",1,0,0.0,2018.0
"['AUS Home Décor - Wall Decals'
 'Stickers & Murals,AUS Furniture - Bedroom - Beds']",3,1,33.33,2019.0
"['AUS Kitchenware - [Cooking] Utensils,AUS Kitchenware - [Cooking] Utensils,AUS S&O - Shoe Racks & Cabinets']",1,0,0.0,2019.0
"['AUS Lighting - Indoor - Lamps,AUS Furniture - Wine Racks & Cabinets,AUS Lighting - Indoor - Lamps,AUS S&O - Shoe Racks & Cabinets']",1,1,100.0,2019.0
"['AUS Home Décor - Artificial Plants & Flowers,AUS Home Décor - Artificial Plants & Flowers,AUS Home Décor - Artificial Plants & Flowers,AUS Home Décor - Artificial Plants & Flowers,AUS Home Décor - Artificial Plants & Flowers']",10,0,0.0,2020.0
"['AUS Furniture - Dining - Dining Chairs,AUS Furniture - Bedroom - Beds']",5,0,0.0,2019.0
"['AUS Furniture - Occasional - Side/End Tables,AUS Manchester - Bed Sheets']",1,0,0.0,2019.0
"['AUS Kitchenware - [Cooking] Frying Pans,AUS Furniture - Occasional - Ottomans & Stools']",1,0,0.0,2019.0
"['AUS Gifting - Skin & Body Care,AUS Gifting - Skin & Body Care,AUS Gifting - Skin & Body Care,AUS Gifting - Skin & Body Care']",2,0,0.0,2020.0
"['AUS Furniture - Armchairs,AUS Furniture - Dining - Dining Tables,AUS Furniture - Dining - Dining Chairs,AUS Furniture - Bar Stools,AUS Furniture - Bedroom - Bedside Tables']",1,0,0.0,2019.0
"['AUS Manchester - Pillows,AUS Manchester - Bed Sheets']",6,1,16.67,2019.0
"['AUS Kitchenware - [Cooking] Utensils,AUS Kitchenware - [Cooking] Salt/Pepper Shakers/Mills']",2,0,0.0,2019.0
"['AUS Kitchenware - Knives,AUS Furniture - Bedroom - Beds']",2,0,0.0,2020.0
"['AUS Manchester - Quilts,AUS Manchester - Bed Sheets']",7,1,14.29,2019.0
"['AUS S&O - Kitchen - Food Storage and Organisation,AUS Office - Office Chairs,AUS Office - Desks']",1,0,0.0,2019.0
"['AUS Manchester - Pillowcases,AUS Manchester - Bedspreads,Coverlets & Comforters']",19,1,5.26,2019.0
"['AUS Furniture - Bar Stools,AUS Home Décor - Wall Art']",6,0,0.0,2019.0
"['AUS Baby - Bedding,AUS Home Décor - Wall Art,AUS Kids - Toys']",1,0,0.0,2020.0
"['AUS Rugs - Rugs,AUS Lighting - Indoor - Lamps,AUS Manchester - Home - Cushions']",1,0,0.0,2020.0
"['AUS Home Décor - Wall Art,AUS Manchester - Home - Cushions,AUS Manchester - Home - Cushions,AUS Home Décor - Wall Art,AUS Manchester - Home - Cushions']",1,1,100.0,2020.0
"['AUS Manchester - Quilts,AUS Manchester - Bed Sheets,AUS Manchester - Quilt Covers']",9,0,0.0,2019.0
"['AUS Dinnerware - Drinkware - Glasses,AUS S&O - Kitchen - Food Storage and Organisation,AUS Kitchenware - [Cooking] Utensils,AUS Kitchenware - [Cooking] Utensils,AUS Kitchenware - [Cooking] Utensils,AUS Kitchenware - [Cooking] Utensils,AUS Kitchenware - [Cooking] Utensils,AUS Kitchenware - [Cooking] Utensils,AUS Kitchenware - [Cooking] Utensils,AUS Kitchenware - [Cooking] Utensils,AUS Dinnerware - Teacups & Mugs,AUS Dinnerware - Teacups & Mugs,AUS Dinnerware - Teacups & Mugs,AUS Dinnerware - Teacups & Mugs']",1,1,100.0,2020.0
"['AUS Furniture - Occasional - Side/End Tables,AUS Manchester - Mattress Protectors & Accessories,AUS Furniture - Bedroom - Bedside Tables']",1,0,0.0,2019.0
"['AUS Lighting - Indoor - Lamps,AUS Home Décor - Wall Art']",15,3,20.0,2019.0
"['AUS Dinnerware - Serving Pieces,AUS Dinnerware - Serving Pieces,AUS Outdoor - Garden - Statues']",1,0,0.0,2019.0
